unnamed_0,year,prize,motivation,laureate_id,birth_city,birth_country,organization_name,organization_city,organization_country,death_city,death_country,usa_born_winner,decade,female,age,category_Chemistry,category_Economics,category_Literature,category_Medicine,category_Peace,category_Physics,prize_encoded,motivation_encoded,prize_share_1/1,prize_share_1/2,prize_share_1/3,prize_share_1/4,laureate_type_Individual,laureate_type_Organization,birth_city_encoded,birth_country_encoded,sex_Male,organization_name_encoded,organization_city_encoded,organization_country_encoded,death_city_encoded,death_country_encoded,age_group_Adult,age_group_Senior,age_group_Youth
-0.7490981661063201,-0.5546009650833181,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",212,"Redondo Beach, CA",United States of America,University of California,"Berkeley, CA",United States of America,"El Cerrito, CA",United States of America,True,-0.4456646941402606,False,-1.271966023744478,1,0,0,0,0,0,139,414,0,1,0,0,1,0,432,115,1,223,11,28,85,46,1,0,0
-0.7452956373443591,-0.5546009650833181,The Nobel Prize in Chemistry 1951,"""for their discoveries in the chemistry of the transuranium elements""",213,"Ishpeming, MI",United States of America,University of California,"Berkeley, CA",United States of America,"Lafayette, CA",United States of America,True,-0.4456646941402606,False,-1.6828159200823094,1,0,0,0,0,0,139,414,0,1,0,0,1,0,233,115,1,223,11,28,127,46,1,0,0
-0.741493108582398,-0.5546009650833181,The Nobel Prize in Literature 1951,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",622,Växjö,Sweden,University of California,"Cambridge, MA",United States of America,Stockholm,Sweden,False,-0.4456646941402606,False,0.04275364453658232,0,0,1,0,0,0,248,299,1,0,0,0,1,0,555,104,1,223,35,28,241,40,1,0,0
-0.7376905798204371,-0.5546009650833181,The Nobel Prize in Physiology or Medicine 1951,"""for his discoveries concerning yellow fever and how to combat it""",352,Pretoria,South Africa,"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation","New York, NY",United States of America,"New Haven, CT",United States of America,False,-0.4456646941402606,False,-0.6146061896039479,0,0,0,1,0,0,465,117,1,0,0,0,1,0,420,101,1,112,118,28,178,46,1,0,0
-0.733888051058476,-0.5546009650833181,The Nobel Peace Prize 1951,"""for development of methods to cool and trap atoms with laser light""",512,Paris,France,University of California,"Cambridge, MA",United States of America,Paris,France,False,-0.4456646941402606,False,1.0287933957473776,0,0,0,0,1,0,36,21,1,0,0,0,1,0,396,39,1,223,35,28,197,12,0,1,0
-0.730085522296515,-0.5546009650833181,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",56,Todmorden,United Kingdom,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,Cambridge,United Kingdom,False,-0.4456646941402606,False,-0.4502662310688153,0,0,0,0,0,1,358,469,0,1,0,0,1,0,518,114,1,8,68,27,53,45,1,0,0
-0.726282993534554,-0.5546009650833181,The Nobel Prize in Physics 1951,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",57,Dungarvan,Ireland,Trinity College,Dublin,Ireland,Belfast,Northern Ireland,False,-0.4456646941402606,False,-0.943286106674213,0,0,0,0,0,1,358,469,0,1,0,0,1,0,144,57,1,216,46,15,16,28,1,0,0
-0.722480464772593,-0.5241316924267687,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",214,London,United Kingdom,National Institute for Medical Research,London,United Kingdom,Llangarron,United Kingdom,False,-0.4456646941402606,False,-1.4363059822796105,1,0,0,0,0,0,140,462,0,1,0,0,1,0,296,114,1,153,89,27,141,45,1,0,0
-0.718677936010632,-0.5241316924267687,The Nobel Prize in Chemistry 1952,"""for their invention of partition chromatography""",215,Liverpool,United Kingdom,Rowett Research Institute,Bucksburn (Scotland),United Kingdom,Norwich,United Kingdom,False,-0.4456646941402606,False,-1.7649858993498757,1,0,0,0,0,0,140,462,0,1,0,0,1,0,292,114,1,179,30,27,183,45,1,0,0
-0.7148754072486709,-0.5241316924267687,The Nobel Prize in Literature 1952,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",623,Bordeaux,France,University of California,"Cambridge, MA",United States of America,Paris,France,False,-0.4456646941402606,False,0.6179434994095462,0,0,1,0,0,0,249,303,1,0,0,0,1,0,60,39,1,223,35,28,197,12,0,1,0
